IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
15.22,3.6,13.0,22.37,36.67,4.613636363636363,15.95,11.43,11.82,4.03,10.45,7.54,47.25,35.2,54.27,6.78,12.05,51.33,282.95,1.15,5.17,0.96,9.95,4.05
6.48,8.1,14.38,18.54,34.6,4.325454545454545,14.93,6.58,14.25,4.8,14.82,5.7,19.52,29.57,58.47,5.42,11.05,41.25,157.62,0.88,4.8,2.38,8.47,11.05
7.34,17.2,10.75,18.54,31.18,4.170909090909091,14.43,8.38,17.17,20.92,14.1,9.5,24.95,11.3,56.67,6.83,6.58,38.85,26.83,1.47,4.504,3.62,8.52,13.43
11.24,11.62,7.73,16.02,28.4,4.302727272727272,14.43,8.15,12.9,7.0,9.9,7.87,32.05,0.25,54.08,7.57,6.28,40.12,25.23,1.4,4.7675,2.72,9.33,4.1
7.27,4.95,8.78,19.31,26.33,4.183636363636364,13.95,4.92,11.6,3.75,5.67,3.34,17.65,0.2,50.25,4.05,5.3,36.28,41.8,0.73,4.626,0.81,7.53,2.47
4.44,4.28,6.67,19.52,24.05,3.444,13.12,4.33,8.15,4.9,7.2,2.72,13.57,28.32,43.5,3.6,3.67,31.82,34.12,0.75,4.45,0.87,6.78,2.7
4.52,4.17,3.4,20.69,22.07,3.693,12.25,3.85,4.45,3.9,7.38,2.48,13.3,19.55,54.25,3.67,5.88,29.25,12.6,0.43,4.415000000000001,0.77,5.5,1.88
5.51,4.42,2.7,20.56,19.58,11.1,11.15,3.9,3.95,4.77,8.95,2.65,14.73,17.38,45.73,3.5,5.82,31.5,4.47,0.45,4.2075,0.96,4.58,1.7
6.14,3.83,1.72,21.16,17.82,12.82,11.02,4.6,3.7,5.28,8.2,3.31,15.5,17.93,29.15,5.42,5.92,37.08,11.7,0.55,4.038,2.52,3.95,1.57
6.21,4.67,1.5,17.79,17.75,12.07,11.07,3.17,3.58,4.5,8.9,2.84,13.38,16.65,27.75,6.85,4.8,34.05,29.45,0.75,4.067500000000001,2.24,4.03,1.48
5.21,4.33,1.52,14.8,16.38,9.6,10.85,2.78,3.25,4.17,8.1,3.61,10.58,20.55,33.17,6.45,4.17,30.85,49.58,0.95,4.476666666666667,1.21,4.05,1.15
4.89,4.42,2.15,13.57,16.05,7.65,10.1,2.17,4.53,3.0,8.75,3.68,9.6,0.3,40.35,6.0,3.6,31.55,26.18,0.72,4.71,1.06,4.28,1.6
5.3,4.35,3.17,20.89,16.2,7.9,9.95,3.58,5.1,3.65,12.47,3.17,10.85,0.42,36.17,5.35,5.85,34.65,14.57,0.62,5.249999999999999,1.16,4.22,1.52
6.09,5.5,3.88,20.52,16.88,8.8,9.8,4.25,6.4,6.22,14.0,3.53,12.45,24.95,58.22,4.95,6.85,34.68,5.78,0.72,4.35,2.05,4.3,1.6
6.64,4.22,4.62,19.95,17.4,9.95,9.85,2.65,5.67,3.75,13.97,3.62,13.12,20.93,27.23,4.72,8.9,41.55,3.7,0.72,7.500000000000001,1.46,4.38,1.67
6.6,7.53,3.95,23.34,18.48,14.02,9.47,3.2,6.85,6.2,12.1,4.62,15.2,18.62,69.58,6.5,11.38,49.35,3.65,0.8,6.4799999999999995,1.86,4.5,1.73
10.38,9.23,4.0,21.39,19.15,11.25,10.78,8.3,9.3,5.1,18.8,6.47,21.7,22.6,180.98,6.6,13.28,46.98,12.2,1.12,6.68375,1.62,4.88,1.95
13.37,12.0,6.22,18.91,21.07,10.28,12.3,9.93,9.15,4.08,19.67,9.21,29.12,21.5,101.02,10.35,14.15,56.78,17.43,1.18,6.379,2.38,5.2,2.45
15.09,10.55,7.18,19.04,24.08,8.88,12.52,12.75,8.12,10.0,16.62,8.83,34.05,0.32,127.93,11.78,12.97,51.05,19.73,0.98,6.364444444444445,2.01,4.8,2.8
11.73,10.75,9.97,19.6,26.2,8.15,13.82,10.43,10.62,9.6,13.65,9.45,27.32,0.3,213.47,8.78,15.7,48.35,18.7,0.85,6.516666666666667,1.81,4.57,3.05
7.67,8.32,10.25,16.2,26.55,7.05,13.78,7.45,13.43,8.93,11.2,5.46,18.98,0.32,210.65,5.85,8.05,43.0,12.95,0.95,6.477777777777778,1.54,4.95,2.98
5.6,4.95,6.8,16.51,22.75,6.25,12.78,5.22,13.55,4.1,8.07,3.74,16.38,34.45,215.15,4.17,3.67,34.4,10.28,1.27,6.292222222222223,1.03,5.62,1.98
4.59,1.15,3.62,16.97,20.98,2.28,12.0,4.08,6.22,4.3,7.05,2.92,13.85,20.7,254.95,3.55,4.0,30.0,12.62,0.8,6.11,0.48,5.33,1.45
4.04,1.6,3.67,16.73,19.42,1.67,11.82,4.68,3.98,6.05,6.42,5.28,11.55,17.7,243.9,2.88,3.65,27.25,13.12,0.38,6.056666666666667,0.42,4.42,1.52
4.0,2.67,3.7,16.21,18.43,4.3,11.52,4.2,5.3,3.75,8.75,3.46,11.3,17.1,243.15,2.6,4.2,27.23,12.88,0.35,5.888571428571429,0.59,4.03,2.08
5.39,3.73,3.88,18.69,17.5,4.25,11.43,3.95,6.38,4.0,5.8,2.55,13.9,22.88,180.55,3.28,4.65,27.05,13.82,0.43,5.547142857142858,0.69,3.82,5.42
6.63,6.4,4.97,19.78,18.23,4.07,11.98,4.75,8.05,6.4,6.03,3.29,22.12,15.07,149.07,4.38,6.62,25.77,10.25,0.85,5.55,1.02,3.82,6.97
10.77,4.0,4.35,20.69,19.3,4.1,12.5,5.85,6.18,5.6,4.35,3.18,25.97,0.12,129.2,3.2,8.6,22.07,30.05,3.5,5.92,0.61,4.18,2.15
8.58,5.85,2.62,24.18,18.65,4.12,12.68,9.65,7.0,5.0,8.3,3.58,20.15,8.32,121.62,2.35,9.88,28.3,9.95,2.67,5.66,0.63,5.38,1.6
12.24,11.3,3.0,23.24,20.05,4.08,13.9,5.67,8.52,4.18,6.98,3.19,30.55,32.42,103.9,2.12,8.5,29.6,6.7,1.18,5.2,0.86,6.55,1.67
20.2,6.72,2.28,19.13,18.35,3.85,13.57,5.5,3.88,4.88,14.68,3.7,43.5,21.43,115.28,4.33,9.5,27.93,34.47,0.9,5.292000000000001,1.75,6.75,2.3
