Dwarka-S8-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
968.5,965.93,969.72,970.95,998.3,969.88,976.58,969.35,970.15,971.95,981.82,968.1,969.58,971.36,966.85,970.6,970.7,969.4,976.9008333333335,969.98,971.8,971.12,970.82
969.18,966.54,970.12,971.38,996.28,970.32,976.3,969.68,970.52,972.35,981.8,968.72,970.05,971.3499999999999,967.4,971.25,971.32,969.67,977.4775000000001,970.58,971.8,971.62,971.12
969.42,966.74,970.32,971.55,999.6,970.5,976.42,969.85,970.73,972.52,981.8,969.05,970.32,971.3688888888888,967.62,971.38,971.47,970.08,977.9572727272728,970.83,971.8,971.85,971.35
969.42,966.66,970.1,971.5,997.4,970.38,976.3,969.75,970.65,972.38,981.8,968.95,970.2,971.3855555555555,967.45,971.3,971.45,969.75,971.5,970.8,971.8,971.67,971.25
969.25,966.65,970.05,971.42,997.5,970.35,976.33,969.65,970.55,972.33,981.8,969.02,970.15,971.3709999999999,967.4,971.25,971.38,969.65,972.3,970.62,971.8,971.62,971.08
969.05,966.44,969.85,971.3,996.55,970.18,976.5,969.42,970.35,972.18,981.82,968.85,969.95,971.3709999999999,967.2,971.1,971.12,969.77,972.1,970.4,971.8,971.48,970.88
968.95,966.19,969.47,971.0,998.3,969.78,976.55,969.05,969.88,971.75,981.8,968.3,969.6,971.3809999999997,966.88,970.88,970.9,969.62,971.85,970.33,971.8,971.25,970.6
968.7,965.92,969.38,970.77,995.05,969.65,976.55,969.03,969.85,971.58,981.8,968.35,969.48,971.3389999999999,966.68,970.55,970.55,969.45,971.58,969.97,971.8,970.95,970.47
968.92,966.1,969.78,971.1,995.08,970.03,976.4,969.3,970.17,971.95,981.77,968.67,969.85,972.7190909090907,966.92,970.75,970.88,969.8,971.85,970.25,971.88,971.15,970.83
969.58,966.74,970.47,971.85,991.65,970.72,976.58,970.08,971.0,972.62,981.7,969.6,970.55,971.4518181818181,967.58,971.43,971.45,970.45,972.48,970.93,971.85,971.83,971.5
969.85,967.17,970.83,972.2,984.73,971.1,976.42,970.45,971.25,973.02,981.7,970.05,970.85,971.3836363636364,967.95,971.88,972.0,970.85,972.7,971.32,971.8,972.17,971.98
970.42,967.75,971.42,972.67,978.5,971.55,976.6,970.88,971.77,973.67,981.7,970.6,971.33,971.35,968.62,972.35,972.38,971.27,978.253076923077,971.85,971.8,972.83,972.35
970.6,968.04,971.67,973.08,977.9,971.83,976.62,971.23,972.05,973.9,981.75,970.82,971.65,971.35,968.88,972.65,972.85,971.62,978.5146153846155,972.15,971.8,973.15,972.65
971.2,968.55,972.22,973.6,989.5,972.33,976.6,971.68,972.58,974.53,981.77,971.27,972.17,971.35,969.38,973.2,973.33,972.05,978.7223076923075,972.7,971.8,973.7,973.0
971.45,968.93,972.45,973.85,979.2,972.7,976.65,971.83,972.73,975.0,981.75,971.58,972.48,971.32,969.65,973.52,973.62,972.33,978.8230769230769,973.05,971.8,973.98,973.0
971.75,969.36,972.62,974.5,977.15,973.23,976.6,972.3,973.35,975.08,981.8,972.1,973.05,971.3,969.88,974.17,974.0,972.98,975.15,973.58,973.55,974.52,973.12
971.62,968.84,972.55,973.95,971.58,972.6,976.58,972.28,973.02,974.53,981.7,971.5,972.48,972.65,969.75,973.6,973.82,972.3,974.58,973.08,973.8,973.95,973.7
971.35,968.72,972.0,973.52,968.85,972.22,976.45,971.73,972.47,974.3,981.75,971.48,972.03,971.42,969.58,973.4,973.62,971.73,974.35,972.9,973.7,973.78,973.15
970.08,967.8,971.05,972.65,969.17,971.25,976.23,970.78,971.5,973.42,981.8,969.92,971.02,971.4,968.5,972.42,972.62,970.85,973.35,971.9,973.45,972.73,972.23
969.9,967.43,970.95,972.38,976.4,971.17,976.25,970.52,971.35,973.32,981.8,969.65,970.97,971.4,968.27,972.15,972.23,970.75,973.12,971.53,973.4,972.48,972.05
970.12,967.42,970.88,972.35,981.3,971.2,976.42,970.48,971.27,973.27,981.8,969.62,970.95,971.3790909090908,968.27,972.08,972.23,970.9,973.1,971.58,973.5,972.5,971.9
970.0,967.33,970.88,972.4,993.32,971.3,976.52,970.62,971.35,973.27,981.73,969.48,970.98,971.3709090909091,968.18,972.23,972.33,970.97,973.1,971.55,973.5,972.4,972.03
970.38,967.7,971.38,972.65,997.7,971.62,976.58,970.9,971.78,973.62,981.7,969.95,971.42,973.2391666666666,968.55,972.42,972.42,971.35,973.5,971.7,973.5,972.8,972.33
970.9,968.12,971.83,973.22,997.5,972.17,976.6,971.42,972.27,974.02,981.7,970.67,971.85,973.403,968.97,972.9,972.97,971.92,973.97,972.4,973.7,973.25,972.8
971.7,968.97,972.75,974.08,994.47,973.17,976.58,972.3,973.22,974.98,981.7,971.8,972.88,972.674,969.75,973.7,973.67,972.78,974.88,973.17,973.77,974.15,973.73
972.15,969.45,972.95,974.38,992.95,973.42,976.6,972.6,973.4,975.12,981.7,972.23,973.12,972.6089999999998,970.2,974.23,974.25,973.1,975.23,973.7,973.8,974.52,974.05
972.33,969.58,973.12,974.48,995.23,973.52,976.6,972.65,973.58,975.42,981.7,972.38,973.3,971.37375,970.33,974.35,974.27,973.18,975.35,973.75,973.8,974.65,974.18
972.25,969.64,973.08,974.45,981.65,973.48,976.58,972.62,973.5,975.38,981.7,972.42,973.2,971.38375,970.4,974.38,974.32,973.18,975.35,973.8,973.73,974.7,974.08
972.08,969.46,972.92,974.25,984.83,973.27,976.6,972.4,973.27,975.15,981.7,972.12,973.0,971.3677777777777,970.15,974.17,974.2,973.05,975.18,973.6,973.77,974.5,973.9
971.75,969.1,972.55,973.92,981.83,972.9,976.55,972.12,972.92,974.75,981.7,971.95,972.7,972.6659999999998,969.85,973.88,973.8,972.67,974.8,973.3,973.8,974.17,973.6
971.65,968.98,972.62,974.0,991.62,973.0,976.6,972.25,973.12,974.83,981.7,971.83,972.8,973.7829999999998,969.75,973.83,973.8,972.73,974.75,973.27,973.8,974.08,973.6
972.17,969.54,973.22,974.53,989.23,973.53,976.6,972.72,973.65,975.45,981.7,972.38,973.22,971.3466666666666,970.33,974.3,974.2,973.15,975.33,973.7,973.77,974.65,974.12
972.38,969.84,973.4,974.85,993.08,973.83,976.52,973.0,973.88,975.62,981.68,972.75,973.55,972.8609999999999,970.6,974.65,974.65,973.53,975.58,974.03,973.6,974.95,974.38
972.72,970.13,973.72,975.25,989.92,974.17,976.5,973.45,974.28,976.02,981.62,973.1,973.9,971.4669999999999,970.85,975.0,975.0,974.02,975.9,974.38,973.5,975.27,974.83
973.25,970.68,974.35,975.88,973.3,974.7,976.5,973.97,974.78,976.67,981.62,973.62,974.47,971.3836363636364,971.35,975.55,975.6,974.6,976.42,974.92,973.45,975.75,975.28
973.88,971.23,974.85,976.38,969.95,975.2,976.5,974.5,975.33,977.22,981.6,974.1,974.97,971.38,972.0,976.03,976.12,975.0,977.05,975.53,973.4,976.3,975.8
974.05,971.48,974.92,976.52,966.4,975.32,976.5,974.67,975.45,977.33,981.6,974.23,975.08,971.38,972.2,976.15,976.35,975.25,977.23,975.68,973.3,976.58,976.0
974.27,971.62,975.2,976.8,967.7,975.55,976.55,974.97,975.68,977.58,981.62,974.38,975.33,971.4,972.35,976.42,976.6,975.5,977.42,975.97,973.3,976.77,976.18
974.38,971.83,975.48,976.88,973.77,975.7,976.5,975.17,975.82,977.85,981.7,974.67,975.45,971.4,972.62,976.6,976.85,975.42,977.67,976.2,973.3,977.0,976.33
974.3,971.78,975.32,976.6,971.6,975.5,976.58,974.88,975.65,977.65,981.7,974.55,975.27,971.32,972.62,976.47,976.67,974.97,977.58,976.05,973.3,976.95,976.27
974.12,971.6,975.15,976.42,970.75,975.25,976.52,974.62,975.42,977.45,981.7,974.4,975.03,971.32,972.53,976.23,976.38,974.95,977.42,975.77,973.3,976.77,976.0
973.4,971.12,974.55,976.03,968.6,974.7,976.55,973.98,974.77,976.83,981.77,973.83,974.42,971.32,972.0,975.8,975.97,974.67,976.9,975.4,973.3,976.25,975.45
