IHBAS-CPCB,Shadipur-CPCB
0.99,1.57
1.01,3.83
1.19,2.31
1.56,1.57
0.96,0.82
0.79,0.34
1.02,0.47
0.81,0.24
0.9,0.5
0.53,0.95
0.53,1.5
0.81,2.52
1.12,1.52
1.65,2.87
2.76,3.41
1.95,2.3
1.62,2.23
1.56,3.533888888888889
1.81,2.763529411764706
1.92,2.1294444444444443
1.89,1.880588235294118
1.58,1.18
1.22,0.95
1.11,1.25
1.1,15.06
1.18,25.45
2.05,40.37
2.63,16.93
2.04,11.29
1.54,16.72
1.66,33.53
0.99,45.9
0.9,13.39
0.89,1.5993750000000002
0.74,2.1088235294117648
0.93,2.2416666666666667
1.95,2.170555555555556
2.97,0.69
2.76,3.7
2.67,7.29
2.35,13.29
2.62,7.0
3.4,1.9517647058823528
3.02,1.11
2.24,0.27
2.38,0.72
2.23,0.76
1.54,1.5027777777777778
1.68,2.394117647058824
1.86,3.1033333333333335
2.26,0.61
1.65,1.6
1.05,1.6694444444444447
1.61,2.0425
1.1176470588235292,2.87
1.0164705882352942,4.45
0.8849999999999999,4.51
1.25,8.73
0.84,11.25
0.89,7.22
1.28,0.07
1.96,2.6305555555555555
2.82,0.74
2.8,6.96
3.06,6.96
3.41,7.0
2.46,7.02
1.54,7.01
1.19,6.99
1.2,6.99
1.22,7.0
1.07,6.98
1.11,7.01
2.2,6.99
11.16,7.02
9.22,6.99
5.39,7.0
2.12,3.89
1.33,2.97
0.9731250000000001,2.87
0.5,2.64
1.19,2.75
0.71,2.38
0.89,4.61
1.06,2.44
1.58,3.22
4.27,4.48
5.22,3.75
4.02,2.31
3.14,1.91
1.65,0.9
1.15,1.69
1.11,3.12
1.45,1.96
1.19,1.5
0.99,0.81
0.9,1.38
1.14,1.07
1.56,1.26
1.41,0.98
1.44,1.25
1.69,1.48
1.09,1.53
0.98,2.58
0.93,1.21
0.59,1.57
0.73,2.16
1.23,1.92
1.63,2.59
2.82,2.99
3.04,2.51
4.12,3.0
3.72,2.19
3.59,2.58
2.04,1.85
1.62,1.59
1.54,0.67
1.88,1.14
1.69,0.7
1.44,0.6
1.52,0.6
2.05,1.35
2.1,1.02
1.63,1.21
1.47,1.02
1.12,0.68
1.23,1.27
1.16,1.33
0.86,1.19
0.6,2.08
0.73,3.81
0.8,3.37
0.94,3.56
1.52,4.08
3.52,2.81
2.63,3.1
1.52,2.33
2.06,1.23
1.89,0.94
1.18,0.58
0.84,0.91
0.74,0.77
0.76,0.62
0.91,0.23
0.98,0.49
1.34,1.4
1.34,1.09
1.31,1.21
1.43,0.49
1.65,2.4013333333333335
1.1,3.4533333333333336
0.99,4.115625
1.05,2.3861538461538463
0.94,1.34
0.97,2.51
1.04,3.03
1.21,3.88
2.37,3.44
2.77,3.99
3.92,4.18
4.93,3.94
4.37,3.43
2.12,3.11
1.46,2.89
1.0,2.25
0.85,1.78
0.85,2.04
0.91,2.16
1.14,2.06
2.12,2.89
3.14,1.79
2.44,1.06
1.38,0.34
1.54,1.44
1.13,0.88
0.83,0.28
0.84,0.57
0.99,1.688235294117647
1.11,0.99
1.46,1.44
1.57,1.56
1.83,1.31
2.41,2.17
1.99,2.32
1.99,1.68
1.71,1.72
1.29,1.63
0.9,1.41
0.66,1.48
0.67,1.6
0.76,1.48
1.1,0.67
1.05,0.94
1.11,0.93
1.56,0.66
1.86,0.3
1.91,0.62
1.89,0.61
1.48,3.107647058823529
1.09,0.32
0.94,2.214375
0.79,1.19
0.6,1.32
0.84,2.87
1.54,2.39
2.68,2.45
3.54,3.96
3.08,4.0
3.09,2.39
4.55,1.67
4.73,0.92
2.31,1.96
2.44,1.1
1.77,1.6
1.32,1.7
1.66,2.09
2.04,1.35
1.27,0.95
0.71,0.99
0.78,0.68
0.6,0.7
1.29,1.51
1.29,0.28
1.47,0.3
1.13,1.4066666666666667
0.79,0.99
0.85,2.70125
0.81,1.8
1.17,2.02
2.06,3.02
2.87,2.91
2.3,2.57
2.27,2.75
2.93,3.23
2.83,2.49
1.3,2.83
1.33,2.51
1.52,1.92
1.04,1.15
0.4,0.33
0.3,0.06
0.44,0.93
0.67,0.72
0.49,1.626875
0.53,1.4288235294117648
0.71,1.59
1.69,0.35
1.34,0.28
0.48,1.5
0.39,1.39
0.42,0.96
0.33,0.4
0.39,1.2
0.84,2.74
1.3,4.02
3.32,3.53
5.09,2.55
4.81,3.3
3.64,2.8
1.47,1.15
0.9,0.29
1.25,2.101111111111111
0.86,2.078823529411765
0.69,1.8170588235294118
0.43,1.766470588235294
0.22,2.021764705882353
1.9266666666666667,0.67
1.9194444444444443,1.5105882352941176
1.7822222222222222,0.96
1.4,0.8
1.88,1.12
1.71,1.16
2.12,0.94
1.0,1.43
0.92,1.24
1.09,2.47
1.73,5.0
2.74,6.21
4.01,7.9
3.6,4.474444444444445
5.030555555555555,3.4922222222222223
11.95,4.11
34.21,3.65
5.73,2.92
4.82,1.93
3.56,0.06
1.88,0.23
1.01,0.51
0.98,4.28
1.05,4.04
1.03,2.22
1.56,2.88
2.74,1.92
2.6,1.43
1.68,1.45
1.17,1.17
1.13,1.6
0.64,1.41
0.72,2.65
0.92,2.58
1.56,3.63
2.34,4.28
4.72,7.08
5.17,10.84
6.05,7.57
7.04,6.69
7.07,4.85
6.28,4.83
4.65,6.32
