IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
2.36,16.200000000000003,5.764545454545455,9.2,39.0,2.2,13.41,5.7,18.6,44.84,5.976000000000001,11.35,1.0,3.37,8.8,8.2,17.727857142857143,10.35,6.3,5.35,22.502499999999998,9.5,1.2,13.15,13.9,7.9,100.6,20.2,5.4
1.97,16.1075,3.4,15.46,68.7,3.78,15.06,4.88,30.07,18.2,4.9,8.18,6.72,5.2,17.75,7.85,2.95,6.6,6.9,6.1,17.6,7.67,2.2,15.93,3.2,3.45,17.98,5.7,3.88
3.77,13.924444444444445,4.8,18.95,82.62,5.7,11.8,5.82,26.42,12.95,14.67,5.62,8.53,15.28,6.62,8.75,7.9,4.92,5.6,7.38,19.65,6.3,7.813333333333334,15.1,9.85,2.2,11.62,11.32,3.42
7.92,12.181111111111111,5.25,11.84,62.73,6.85,13.89,4.95,20.38,14.7,10.35,4.55,7.7,10.41,6.9,9.45,5.23,4.28,6.3,8.93,26.15,6.25,3.8,16.85,11.55,1.75,13.93,10.38,2.53
6.05,10.286666666666667,8.25,11.69,71.85,7.75,18.69,5.45,19.5,12.88,5.47,6.88,5.35,9.21,6.53,7.12,10.3,5.6,7.33,8.6,32.55,5.78,2.12,20.23,7.1,2.23,11.43,4.65,4.97
6.41,11.151111111111113,10.3,17.2,66.97,8.88,15.9,7.47,22.1,15.95,5.62,5.65,6.7,10.94,8.22,10.12,15.9,5.7,7.78,9.8,34.65,5.62,2.57,20.62,11.07,2.58,11.38,13.72,8.62
12.57,13.016666666666667,14.05,22.37,80.45,12.8,16.49,16.25,24.67,18.86,7.15,6.25,8.33,11.62,12.25,16.25,13.78,5.35,16.17,9.72,41.4,6.0,5.88,20.1,14.93,2.42,11.72,17.95,12.73
15.27,19.6575,10.97,25.6,77.03,16.07,20.31,17.85,28.1,33.81,11.0,5.15,10.35,12.1,13.8,17.68,21.2,5.35,13.18,9.97,49.58,6.15,9.88,17.8,15.58,2.8,12.22,19.17,13.3
19.81,24.43,12.55,34.45,88.12,28.43,21.52,26.77,29.7,50.87,13.65,6.8,15.17,10.43,18.5,20.3,21.02,5.45,14.15,12.3,55.77,5.92,14.97,15.62,21.9,3.15,13.0,29.27,12.2
31.06,30.244999999999997,15.5,42.62,85.42,36.67,25.17,41.25,34.02,31.84,19.83,4.85,21.83,10.4,27.23,26.62,29.35,4.97,15.15,16.2,68.78,6.65,22.38,11.9,33.17,3.7,15.45,42.05,12.65
38.74,34.96625,15.7,43.55,90.7,39.0,26.11,50.47,36.5,38.44,26.5,6.45,23.3,11.09,33.23,29.9,42.0,4.97,9.93,20.88,79.4,7.0,27.38,14.1,43.9,4.28,21.27,53.0,15.85
39.97,40.61625,15.38,43.51,77.95,38.6,22.9,53.0,38.53,30.93,23.88,6.0,22.65,10.87,37.48,30.6,62.03,5.62,13.78,20.68,65.53,8.78,27.35,25.7,49.08,4.9,27.85,66.95,25.12
43.66,43.761250000000004,19.53,41.89,88.85,44.12,23.41,52.4,38.92,33.97,23.9,2.1,23.6,8.56,39.85,31.1,67.2,5.17,15.1,20.38,67.7,9.03,26.43,27.98,45.77,4.45,28.05,68.05,16.85
39.06,55.16875,19.05,41.46,84.08,45.05,23.41,45.78,39.85,37.18,20.22,3.9,24.25,4.8,28.85,30.05,67.25,5.88,16.7,22.45,79.57,9.93,27.6,29.32,42.28,4.5,29.07,63.95,19.2
37.77,53.084999999999994,23.45,43.33,101.53,45.77,25.15,47.95,41.55,29.8,24.88,9.8,25.45,4.65,30.6,30.2,59.12,5.93,20.43,23.5,82.67,11.95,21.02,28.5,41.85,5.15,28.12,60.72,20.05
39.31,48.11625,23.7,37.6,106.1,45.62,25.52,50.75,40.43,30.34,20.8,10.308947368421054,20.93,9.28,35.1,32.58,61.02,4.8,19.27,23.02,87.35,12.83,32.9,26.93,37.65,5.47,30.15,56.8,21.57
34.56,32.931250000000006,18.05,31.36,110.03,37.77,25.51,45.65,39.95,26.96,22.25,6.85,18.52,0.48,29.18,30.15,36.9,5.35,18.88,22.98,70.2,12.35,32.05,27.77,38.25,5.8,27.12,49.0,17.45
29.15,26.508888888888887,14.93,27.04,95.33,26.12,27.56,46.1,38.58,28.84,15.45,6.58,12.72,4.93,22.75,28.97,31.18,6.38,13.78,22.3,51.2,11.73,28.95,28.53,37.75,5.3,23.93,35.4,16.88
18.04,23.14,9.32,17.78,85.12,19.02,15.65,38.05,30.9,17.19,17.27,1.95,10.05,4.7,12.72,17.07,14.03,5.0,9.12,19.38,41.38,8.3,19.4,28.73,20.8,4.28,15.52,17.1,15.2
11.8,16.276666666666664,6.77,16.29,95.52,10.35,18.36,12.55,26.45,34.09,17.55,4.55,6.35,2.97,8.57,15.8,14.2,4.9,7.85,13.02,45.08,7.12,18.18,28.1,14.78,3.58,12.38,18.08,11.85
8.53,13.447777777777778,7.8,19.9,82.78,3.9,19.19,5.97,21.8,34.66,15.52,4.38,8.55,7.9,8.8,16.5,13.22,6.35,8.8,14.12,51.05,7.28,16.58,29.48,17.17,3.17,13.1,22.75,7.92
10.7,13.836666666666666,4.83,19.89,77.43,5.65,17.94,2.42,25.7,23.82,6.43,7.12,10.45,10.3,14.28,13.12,21.65,7.47,9.35,16.77,45.05,6.72,10.55,29.85,13.93,3.67,13.85,12.53,5.7
14.78,13.634444444444444,6.95,14.39,74.97,6.98,17.08,4.53,26.32,29.5,3.15,5.15,10.83,14.65,14.75,13.6,13.32,6.4,8.75,15.5,40.83,7.03,11.68,29.52,11.93,4.22,16.1,4.58,9.1
14.79,13.975,11.85,21.98,96.97,15.4,22.55,15.72,28.35,26.1,5.72,2.65,15.65,11.91,11.45,13.85,17.35,3.92,11.05,14.12,40.9,7.75,13.62,29.75,8.4,4.27,13.93,11.03,15.45
14.94,15.044444444444448,5.769166666666667,24.95,102.3,21.55,21.44,11.9,15.65,15.87,1.0,13.6,16.05,8.82,17.3,16.1,25.7,14.7,18.25,13.05,43.9375,12.6,9.35,20.35,24.35,8.4,21.35,41.65,14.45
18.5,14.68,4.4,21.22,92.88,21.98,21.92,7.45,28.35,18.32,13.35,6.5,17.9,12.52,19.23,15.35,19.18,6.17,12.2,17.32,62.22,9.18,12.05,27.4,24.77,5.12,22.48,27.8,9.53
17.42,12.872,6.15,18.46,87.72,16.15,17.13,19.62,26.0,26.78,7.35,4.43,12.62,10.32,15.3,17.0,18.3,6.4,4.0,15.78,51.62,8.0,3.7,28.7,14.22,4.33,24.2,21.58,6.75
14.64,11.043000000000001,5.35,14.42,85.0,12.35,14.78,14.27,24.73,21.02,5.28,4.27,8.62,11.36,10.45,12.53,16.62,5.53,8.8,11.82,38.23,7.28,7.8,25.4,17.3,3.85,22.35,20.0,4.45
6.27,9.611,10.3,11.48,95.6,10.12,15.4,9.35,24.12,20.04,2.5,7.85,10.05,12.08,8.65,11.88,8.02,5.08,4.82,10.88,21.6,6.1,4.57,28.55,19.93,3.62,48.62,10.03,13.82
2.91,10.242999999999999,10.0,12.75,84.75,7.25,21.88,7.57,22.93,20.95,3.28,5.1,7.62,7.74,30.82,12.75,17.85,6.0,12.93,13.53,14.9,7.62,10.6,29.18,11.35,3.05,13.67,9.53,17.07
5.19,12.422,13.15,16.89,88.97,9.82,21.94,14.42,27.73,20.5,7.82,12.2,7.12,8.21,5.62,11.85,17.15,4.0,10.75,18.12,28.1,8.07,13.85,29.32,8.25,3.23,12.78,10.17,10.5
8.87,19.563333333333333,14.68,31.95,95.33,19.42,20.28,20.8,27.32,26.58,20.18,11.03,11.35,9.75,3.5,15.1,21.2,5.0,13.0,16.8,45.53,7.53,21.25,29.27,9.57,5.33,15.72,11.5,8.6
18.2,24.965555555555557,12.5,37.44,82.12,27.12,24.78,30.38,29.12,23.62,21.73,6.88,10.93,8.71,9.43,21.4,30.5,5.83,15.3,13.78,57.55,8.77,21.28,29.52,21.1,6.28,16.67,27.02,14.18
29.95,29.927777777777774,15.4,40.12,91.3,34.05,24.78,39.92,31.4,27.94,21.98,2.88,24.33,3.51,17.77,21.62,38.22,4.6,15.57,14.08,61.33,8.2,21.97,30.35,33.38,5.32,22.52,37.65,15.3
