IHBAS-CPCB,East-Arjun-Nagar-CPCB,DTU-CPCB,Shadipur-CPCB
6.572666666666667,8.78,1.78,6.2
6.147857142857142,2.42,1.78,4.99
4.343571428571429,10.23,1.8,3.87
2.7828571428571425,6.41,1.6,1.58
2.434285714285714,5.81,1.49,1.11
1.8592857142857147,4.7,1.47,0.87
2.7223076923076923,6.56,1.31,0.46
4.291538461538462,4.41,1.24,0.9825000000000002
2.0330769230769232,9.43,1.25,0.38
1.9123076923076923,5.82,1.29,0.81
2.0030769230769225,5.31,1.26,0.65
2.5207142857142855,10.18,1.28,1.13
1.9113333333333336,7.69,1.36,1.6
1.713125,9.36,1.52,1.99
1.84,14.23,1.81,1.46
1.82,6.44,4.3,0.91
1.57875,13.81,4.59,1.57
0.74,5.24,3.54,1.42
1.01,5.39,3.28,2.08
1.17,5.4,2.52,2.77
1.7,4.32,2.02,2.15
2.15,7.26,1.73,2.67
3.29,5.73,1.55,4.1
3.75,6.74,1.59,6.67
3.7,10.16,1.76,8.38
4.12,5.88,1.86,4.43
3.3,6.42,1.93,5.05
2.14,6.25,2.08,3.02
1.53,5.21,2.05,1.35
1.26,8.43,2.09,1.34
0.92,7.74,1.7,0.89
0.98,3.08,1.61,0.81
0.98,11.36,1.62,0.65
0.99,13.47,1.55,0.82
1.14,4.92,1.7,0.69
0.87,6.99,1.99,0.9583333333333334
0.84,6.55,1.71,0.17
0.54,6.12,1.67,0.26
0.6,3.76,1.52,0.43
0.46,6.44,1.62,0.979473684210526
1.2414999999999998,3.8,1.57,0.17
0.22,5.46,1.64,0.1
0.33,8.37,1.63,1.3677272727272727
0.35,6.01,1.62,0.2
0.46,4.22,1.7,0.29
0.79,16.61,1.69,0.22
1.1,8.64,1.67,0.48
1.5,6.04,1.82,1.36
1.93,7.48,1.8,1.75
1.71,8.07,1.84,0.98
1.28,8.24,1.93,0.4
0.98,6.67,1.88,0.32
0.96,5.06,1.92,0.13
0.82,10.26,1.88,0.18
0.83,5.87,1.67,0.15
0.7,7.01,1.57,0.6836842105263158
1.2,4.95,1.76,0.18
0.73,4.3,1.78,0.25
1.0,7.4,1.74,0.6355
12.12,9.27,1.49,0.27
7.21,7.69,1.48,0.17
2.54,8.62,1.66,0.12
2.1,6.28,1.78,1.296315789473684
1.45,7.62,1.95,1.0435000000000003
2.560476190476191,3.6,1.75,0.1
13.57,3.98,1.95,1.070952380952381
1.77,8.73,1.96,1.6150000000000002
1.91,7.18,1.84,0.61
1.83,9.53,2.16,0.79
2.62,5.58,2.41,1.01
3.53,6.93,2.3,1.17
5.15,7.01,2.71,1.44
5.2,5.46,3.3,1.43
3.42,12.8,3.28,1.66
2.18,6.49,3.29,1.17
1.66,7.24,2.97,0.82
1.46,6.94,2.62,0.51
1.76,5.99,2.34,0.39
1.33,9.91,2.47,0.78
1.03,5.07,2.38,0.79
0.91,8.89,2.28,0.22
0.99,6.61,2.0,0.8569999999999999
1.13,7.35,2.03,0.19
0.98,5.27,1.79,0.57
1.04,6.77,1.99,0.54
1.39,7.37,2.25,0.73
1.49,6.79,2.17,0.14
1.36,16.05,2.4542105263157894,0.33
1.86,5.08,2.3515,1.1916666666666667
2.43,7.86,2.379473684210526,0.23
4.14,16.92,2.386111111111111,1.25
3.01,4.38,2.34,1.99
3.07,7.38,2.54,2.31
8.55,8.55,2.371176470588235,2.87
6.44,6.72,2.5170588235294113,4.98
8.0,10.74,2.705882352941176,4.8
10.15,13.96,2.7870588235294114,4.92
10.88,6.92,2.845625,4.11
9.14,10.46,2.886875,2.82
7.75,6.73,2.73375,2.09
5.35,5.8,2.6705882352941175,2.35
4.23,9.63,2.6344444444444446,1.79
3.6,7.24,2.521578947368421,1.61
2.91,6.85,2.4665,1.44
2.7,9.15,3.18,1.13
4.0,5.29,3.47,1.1
4.43,15.87,3.06,1.15
4.35,11.3,2.96,1.04
3.16,9.11,3.13,0.89
3.92,12.45,3.14,1.08
3.04,5.84,3.25,1.38
1.54,5.1,4.31,1.04
1.97,4.39,3.36,0.45
2.1,7.31,3.48,0.46
2.58,7.13,3.18,1.88
3.45,9.58,3.09,1.4
4.02,7.58,3.16,1.58
5.01,5.64,3.13,1.35
6.93,17.92,3.11,1.95
10.02,6.95,3.24,3.12
6.78,7.58,3.33,2.78
6.83,8.73,3.1,1.85
6.01,6.82,3.31,1.71
3.0,7.33,3.46,0.94
5.62,9.86,3.26,1.74
2.37,6.83,3.59,1.07
2.42,6.25,3.69,1.0
3.16,9.02,3.93,0.88
2.04,6.03,3.82,0.95
1.94,7.61,3.84,0.48
2.46,6.17,3.75,0.39
2.5,7.98,3.45,0.14
2.21,14.54,3.51,0.74375
1.33,8.57,3.56,1.001875
2.15,22.16,3.72,1.1029411764705883
7.71,10.9,3.77,1.3705555555555555
3.78,2.99,3.5,1.5973684210526315
2.9,7.48,2.58,1.7716666666666667
6.62,11.68,3.75,3.15
4.19,5.53,3.94,4.95
2.84,5.58,3.77,4.86
4.62,8.28,3.81,4.27
5.42,7.35,4.27,4.52
9.06,13.41,4.6,5.79
17.98,15.8,4.72,8.53
13.61,10.72,5.25,5.23
5.38,11.41,5.67,5.07
2.56,7.77,5.3,4.16
1.09,7.36,4.76,1.98
0.7,5.92,4.22,1.17
13.44,7.31,3.93,0.45
35.34,2.96,3.66,1.0931250000000001
6.19,5.85,3.59,0.776875
2.31,15.8,3.35,0.6476470588235294
2.78,3.09,3.33,0.755625
2.36,5.71,3.22,0.06
2.89,5.49,3.27,0.48
4.22,14.54,3.26,1.02
4.38,10.02,3.61,1.47
3.68,22.23,3.5,1.61
3.9,7.0,4.03,2.83
4.46,10.2,4.23,2.33
4.65,18.04,4.39,2.39
5.41,7.48,4.14,3.49
5.46,4.84,4.01,4.88
3.69,8.43,4.16,5.63
3.72,7.28,3.96,7.53
5.54,6.35,4.09,7.87
8.45,10.66,3.94,10.65
6.71,6.08,3.95,7.3
4.14,2.75,4.18,5.55
2.41,7.58,3.91,2.86
2.94,18.5,3.93,2.57
2.87,6.92,3.96,2.73
2.77,7.09,3.62,2.51
2.06,12.45,3.53,1.75
1.66,3.7,3.59,1.48
1.49,11.46,3.65,0.94
1.4,14.33,3.08,1.45
1.77,10.9,3.11,1.49
1.55,7.44,2.93,1.1
1.72,5.07,3.12,1.21
1.43,4.71,3.35,0.9
