IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,Lodhi-Road-IMD,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,CRRI-Mathura-Road,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC
9.36,19.27,11.3,14.95,15.2,6.1872727272727275,28.4,21.12,21.57,36.66,20.07,23.65,24.2,22.93,18.34,15.68,10.3,24.05,37.08,66.57,24.55,9.95,9.4,11.55,12.7,19.52,16.05,16.38,18.88,13.59,24.95
11.32,18.93,8.62,12.05,15.28,7.554,27.78,20.72,20.98,37.01,19.52,26.43,19.1,38.48,30.75,22.0,11.88,21.17,33.33,71.2,20.6,12.4,7.92,9.5,12.97,20.62,19.65,20.55,64.5,12.71,26.67
13.19,12.85,7.53,11.72,18.38,5.02888888888889,28.58,20.32,20.55,35.99,19.14,25.45,16.02,64.72,25.49,21.5,12.65,23.542352941176468,31.88,81.63,19.1,12.35,7.75,10.33,13.22,19.83,16.62,19.9,74.78,13.05,27.5
11.32,22.07,7.12,11.7,15.53,8.250909090909092,33.96,17.52,20.82,36.7,18.48,17.8,12.97,64.17,22.02,15.15,7.88,22.75,35.5,87.54,14.45,11.93,7.92,10.58,11.22,14.2,13.38,18.35,118.68,12.59,21.1
13.75,21.3,5.88,10.68,14.45,9.621666666666668,29.89,16.6,18.68,37.72,18.03,14.3,11.6,45.92,19.23,13.95,6.95,18.62,35.83,92.36,13.33,11.3,8.55,9.43,9.88,14.17,15.83,16.85,125.58,11.61,21.27
15.8,19.73,4.3,10.8,12.5,10.801666666666668,29.05,13.53,18.62,47.23,17.34,13.72,10.07,58.25,20.92,13.88,7.15,13.75,28.9,84.07,11.35,9.92,9.1,8.57,8.12,7.1,14.43,15.25,119.32,12.4,18.6
12.11,22.12,3.9,10.42,11.05,10.40857142857143,28.38,9.85,17.8,41.64,16.68,10.22,9.02,56.48,31.63,13.83,6.9,12.0,25.7,84.54,15.9,10.88,11.0,8.03,7.6,5.88,13.07,14.57,86.67,11.75,14.1
12.29,17.08,3.6,10.73,10.95,42.82,27.61,9.1,15.85,42.77,16.45,12.62,7.72,72.22,25.76,13.65,6.15,13.35,25.43,94.89,17.05,13.48,11.85,8.5,7.2,5.15,14.1,11.22,78.4,11.72,13.35
11.11,14.5,3.5,10.0,11.6,26.48,26.18,10.2,15.7,47.95,16.24,6.45,7.1,54.3,22.36,11.7,5.6,12.2,21.3,95.03,14.03,15.5,14.23,7.15,7.25,5.03,12.82,10.55,55.9,12.41,11.05
9.88,12.88,3.6,10.53,10.9,18.82,26.03,9.95,15.42,53.2,16.02,5.73,6.35,53.2,20.77,10.53,5.62,12.1,19.9,72.35,14.22,13.82,12.65,7.92,6.78,5.58,10.35,9.68,47.45,12.81,12.130624999999998
