IHBAS-CPCB,East-Arjun-Nagar-CPCB,Shadipur-CPCB,Punjabi-Bagh-DPCC
32.66,27.08,94.67,87.65
32.56,28.19,85.42,78.53
32.56,29.36,76.66,70.68
30.22,29.82,70.88,67.3
31.01,30.93,67.14,66.0
31.94,31.6,64.21,63.02
32.91,32.26,62.37,59.6
32.95,32.74,60.66,59.25
33.71,32.93,61.28,61.65
33.06,32.13,66.01,64.92
32.56,31.85,68.75,66.62
32.11,31.48,69.53,68.1
32.27,30.98,71.88,70.95
31.03,30.45,74.05,71.72
30.75,30.06,76.35,73.78
30.3,29.76,81.01,75.95
29.6,29.59,82.38,76.4
29.13,29.39,83.11,75.6
29.86,29.03,83.34,78.88
31.05,28.31,86.34,82.08
30.51,28.17,90.58,85.12
29.18,27.74,93.12,86.85
29.02,27.38,94.73,88.4
29.71,27.15,96.3,89.17
30.0,27.65,95.56,87.15
30.15,29.07,88.23,80.2
32.47,30.39,81.89,74.85
33.59,31.58,74.77,68.9
34.8,32.22,70.27,64.0
34.17,32.7,67.05,64.1
35.87,31.87,64.91,63.05
37.16,32.82,69.25,66.1
37.88,33.61,66.2,64.5
38.75,34.1,65.68,65.4
38.13,34.01,64.43,64.97
36.48,32.56,65.03,66.6
34.62,31.73,70.4,69.82
33.0,31.46,73.2,71.4
33.24,31.4,75.33,74.07
32.31,31.24,78.38,75.47
31.35,31.0,80.62,76.25
31.66,30.69,81.47,79.38
31.97,30.22,81.35,80.0
31.7,29.74,82.58,79.9
31.46,29.53,83.77,80.05
31.09,29.2,84.51,80.88
30.84,28.99,85.57,81.58
30.82,28.79,87.31,82.65
31.39,28.98,87.72,81.82
31.8,29.39,83.93,77.75
33.83,30.46,78.31,71.12
34.75,31.09,73.5,67.42
33.83,31.74,70.19,63.27
32.94,32.46,65.22,59.1
33.28,32.63,64.0,58.6
33.53,32.77,63.8,59.88
32.93,32.66,64.67,62.95
32.27,31.59,69.21,68.12
31.59,30.69,72.97,70.65
31.42,30.92,74.32,72.6
31.2,31.06,75.24,73.45
31.16,30.97,75.44,73.67
30.77,30.67,76.64,74.38
30.32,30.35,77.48,75.75
30.05,29.96,79.41,77.25
29.71,29.64,80.66,78.12
29.43,29.37,81.99,78.75
29.13,29.11,83.38,80.25
28.8,28.83,85.03,81.62
28.61,28.54,86.91,82.82
28.39,28.3,89.44,84.62
28.21,28.06,92.1,86.2
28.9,28.46,91.22,84.28
30.12,29.46,87.59,80.15
32.04,30.35,80.76,76.32
33.12,31.45,71.88,68.95
33.95,32.38,66.09,62.8
